,Text,Class
91,ඝරසරප සම්පුර්ණ සිංහල චිත්‍රපටය  පහළ තියෙන link එකෙන් download කරගන්න යාළුවන්වත් mention කරල එයාලටත් මේ link එක දෙන්න…,Neutral
92, අම්ම ගෙදරින් එලවයි 😂😂😂,Neutral
93,ජනාධිපති ඉරනමඩු වැවේ පැරණි ඵලකයක් කඩා බිඳ දැම්මා ය කියන කතාවේ ඇත්ත නැත්ත  ඉරනමඩු වැව ඩඩ්ලි සහ මෛත්‍රී  https…,Political
94,  ඔවු සමහරවිට මොකද මේකේ පැහැදිලි ඉල්ලක්කය සිංහල Buddhist මෝඩයෙක් කිරීමයි මොකද මේ වැඩේ ඕනෙම කෙනෙකුට…,Neutral
95,   අපේ බොජුන් කිවත් අයිතිකාරයා  වැඩකරන අය සිංහල Buddhism බවුද්ද නොවෙන්නත් පුළුවන් නේද ,Religion
96, පලයං දකුණු ඉන්දියාවට,Neutral
97,අදින් වසර කිහිපයකට පෙර එක දිනයක් අපට හැකිවුනා වත්මන් ශ්‍රී ලංකාව තුල දැවැන්ත සිංහල  සංවිධානයක් ගොඩනගන්න …,Neutral
98, ආ ට්‍රැෆික් තියෙන පාරක් හම්බ වෙලා D,Neutral
99,අද නඳුන් උයනට සම වැදෙන්න හරියටම රෑ  වෙනකොට රතුමකරාFM වෙත ගොඩ වැදෙන්න  එනවා NadunUyana අරන් ඔයාලව හම්බ වෙන්න…,Neutral
100,👀😜😜👉බොහොම අමාරුවෙන් හොයලා හොයලා හම්බ උනා ඩයල් එක😜😜😆😆😆😄😄😄🤣🤣👇👇👇👇👇 ,Neutral
101,රෝමානු කතෝලික වූ අයෙක් සිංහල බෞද්ධ වුණේ ඇයි දැයි මගෙන් ප්‍රශ්න කරනවා උත්තරේ නම් රෝමන්කාරයෝ කතෝලික වෙච්චි සිංහලයෝ බෞද්ධ වෙච්චි ඒ හැර ධර්මය සිංහලයාට ම ය සිංහලයාගේ ය කියා කේවල් කිරීමක් නැත පරම්පරා පහ හයකට හත ,Religion
102,බස් එකේ ඩ්රයිවර් බහිද්දි අහනවා ටීචර් ගොඩක් සල්ලි තියනවද කියලා මන්  ඇහුවා ඇයි එහෙම අහන්නෙ කියලා  නෑ ඉතින් නිවාඩු කාලෙත් ක්ලාස් කරලා හම්බ කරනවානේ ලූ මට ඉතින් දෙය්යනේ සල්ලී තියනව නම් මේම  බස් එකේ යනවද ගන්නවනේ හෙලිකොප්ටරයක් කියලා කියන්න හිතුනට කිව්වෙ නෑ ඉතින් 😂,Neutral
103,  අනිත් එක Mcleren P හම්බ වෙන්නෙ Garage Level  Max වලහිතනවද Garage Level  Max යන්න ලේසියි කියලාලොකුකම් තියෙන Noob කෙනෙක්ට වත් යන්න බැහැ,Neutral
104,හැම දාම ජනතාව හොදට ඇන්ද වු දේශපාලඥයින් සියල්ලම මේ වන විට උන්ටම හොදටම ඇන්දී ඇතඔවුනොවුන්ට හොදට රැවටී අමාරුවේ වැටී ඇතඔය මොකා ආවත් කරේ ජනතාව රැවටීම පමණයි අරුන් දෙමළ අරුන් මුස්ලිම් යේක සිංහල මිනිස්සු කිය කියා මහනතාව ,Political
105,මං අනිත් දවසේ අත හෝදන්නේ මෙහෙම මගෙත් එක්ක මෙහෙම අත හෝදන්න කැමති කට්ටිය ඉන්නවනම් ඉන්බොක්ස් කර අමතන්න අවුරුද්දකට පස්සේ උත්තර ලැබෙන එක වෙනම කතාවක් ගැහැණු පිරිමි භේදයක් නෑ අත හෝදන්නනෙ හුත්ත හැමිණෙන්න නෙමෙයි ,Sexism
106,කදිම නිර්මාණයක් ඉතින් සහෝදරවරුණේ කාව්‍ය සංග්‍රහයේ අඩංගු කාව්‍යයත් මෙවැනිම රසයක් ගෙන දුන්නා සිංහල කවියට මම පෙම් බැන්දේ සන්දේශ කාව්‍යන් නිසාවත් ජනකවි නිසාවත් නොවෙයි ඉතින් සහෝදරවරුණේ කාව්‍යය ,Neutral
107, ලග්න පලාපල සහ ඔබේ ලග්නයට අනුව ශුභ අශුභ හා සුදුසු වත් පිලිවෙත් කියවන්න    මේෂ ලග්නය  මිශ‍්‍රපල යෙදෙන වසරකි වෘෂභ ලග්නය  වියදමි යෙදෙන වසරකි මිතුන ලග්නය  මිශ‍්‍රපල හිමි වේ කටක ලග්නය  පැවති කරදර බාධා ඉවත්වේ සිංහ ලග්නය  ,Neutral
108,සිංහල අක්කලා නංගිලා ටික පොඩි වෙලාවක් වැය කරල කියවලා බලන්න  මට මුණ ගැහුණා අම්මා කෙනෙකුයි තාත්තා කෙනෙකුයි දුවෙකුයි  ලස්සන සිංහල නංගි කෙනෙක් මුස්ලිම් තරුණයෙක් එක්ක සම්බන්ධයක් ඇති… ,Neutral
109,තරුණයෙක් විදියට තැබූ ගරුත්වය ඔබ නැති කර ගත්තේ මැතිවරණය ඉලක්ක කරගනිමින් ජාතිවාදියකු වූ නිසයිඔය ඔබගේ සැබෑ කතාව නොව මැතිවරණය වෙනුවෙන් මාතර සිංහල බෞද්ධ ජනතාව මුලා කිරීමේ කතාවයිමැතිවරණයට ජාතිවාදී වන්නන්ට සැබෑම ,Political
110, හැමදාම හැමදේම හංගන් ඉන්න බෑ හිටියත් වැඩකුත් නෑඒ දේවල් කවදහරි ඉබේටම විනාස වෙනවා බුද්ද දර්ශනේ හැටියට අපි තාම සීගිරියේ මතුපිට සිංහ කකුල්චිත්‍ර එක්ක ගැටෙනවා ගර්භය ඇතුලේ දහසකුත් දේ හංගගෙන,Religion
111,උතුර  වෙන් කරලා දෙන්න ඔනෙනම් ඇයි යුද්ධ කරලා උතුර බෙර ගත්තෙ එ විතරද රටවටෙම  බොම්බ පූපුරන කොට කොහෙද හිටියෙ  සිංහල අපිට තියෙන්නෙ මෙ රට විතරයි  අපි තමා 🇱🇰  වෙ සුලුටරය මෙ තෙරුම් ගනිව්  ,Neutral
112,නැගෙනහිර වසර දහයක පහළොවක කාලයකදීවත් යළිත් සන්නද්ධ අරගලයක් ඇතිවිය   හැකි  පසුබිමක් නොමැත දෙමළ ජනතාව මෙවර සිය  අයිතීන් දිනාගැනීමේ සටන දියත්   කරන්නේ ව්‍යවස්ථාව තුලින් ය එය ප්‍රජාතාන්ත්‍රික අරගලයකි අවි අතට ගත්   දෙමළ සන්නද්ධ දේශපාලන කණ්ඩායම් කිසිවක් උතුරු නැගෙනහිර නොමැත කවුරුන්,Neutral
113,BBC News සිංහල  ශ්‍රී ලංකාවේ දේශපාලන අර්බුදය ජනපති මෛත්‍රීපාල සිරිසේනගේ මානසික සෞඛ්‍යය ගැන අභියාචනාධිකරණයට පෙත්සමක් ,Political
114,     හර්ශ මචං එතකොට ඔය grant එක දුන්නේ UNP එකටද නැත්තන් රටක් හැටියට ලංකාවටද අනේ පලයන් බන් යන්න වොල්ස්වැගන් ගස් ගෙම්බා,Political
115,  මේක ලෝකෙට කියන්නත්  හදුන්වන්න ඕනේ  සිංහල ජාතිකයෙක්  හැටියට අම්මපා මුන් මොන SriLanka ඉස්කෝලේද ගියේ යකෝ මෙතනම racist ජාතිවාදය වපුරවමින් ලෝකේ FakeNews පතුරුවන්නේ මුදලට මිසක් වෙන කුමකටද    ,Neutral
116,එ ජා පෙරමුණේ පරාජය  එ ජා පෙරමුණට දෙමළ ජාතික සංධානයට හා  ඔවුන්ගේ අතවැසි ජ වි පෙරමුණට දැන් ඉතිරි ව ඇත්තේ බටහිරයන්ගේ පිහිට පමණයි අද ඔවුන් ගඩාෆිට වුණු දේ ගැන කතා කරන්නෙ වෙනත් ක්‍රමයක් නැති නිසයි අනුර කුමාර ,Political
117,තව පරම්පරා දෙක තුනක් යද්දි සිංහලයගෙ සිංහල පෙනුම චීනගෙ අර චෑන් චූන් පෙනුම එක්ක දෙමුහුන් වෙනවා  බොරුනම් බලපල්ලා තව පරම්පරා දෙකක් මේ රටේ ජීවත්වෙලා  උන්ගෙ කොලනියක් වෙලා ඉවරයි දැනටම මේක😑  මේවාසිරාසිද්ධි,Neutral
118,ජනාධිපති ඉරනමඩු වැවේ පැරණි ඵලකයක් කඩා බිඳ දැම්මා ය කියන කතාවේ ඇත්ත නැත්ත  ඉරනමඩු වැව ඩඩ්ලි සහ මෛත්‍රී   ,Political
119,හැමදාම කට කැඩෙනකම් උගුර ලේ රහ වෙනකම් ඇස්වල කඳුලු එනකම් කෑගහලා ඉස්සරහටම පලයන් පස්සටනම් අඩියක්වත් තියන්නෙපා මොනා උනත් කියලා දිරි දුන්නෙ ලේ කිරි කරලා පොවපු අම්මයි යකඩ පාගලා රට වටේ කරක් ගහලා ගෙදර අඩුපාඩු පුරවපු තාත්තයි ඉරිච්ච ඩෙනිමයි කාකි සර්ට් එකයි ඇදගෙන ඉදපු කොන්දොස්තරයයි විතරයි,Neutral
120,උදාරයාගේ සාහිත්‍යිකභාවයට විවරණ දුන්නේ සිංහල සාහිත්‍යය හා සමාජ අධ්‍යයනය ගුරු මෑණිවරුය පීඩාවට පත්වූවෝ ගිණුම් අංශයට මා බඳවාගත් ආයතන පරිපාලකයෝය 😊,Neutral
121, ඒක නවත්තන්න බෑ 😂 බඩ පිම්බෙනවා ගෑස් එකට ඒ නිසා තමයි කීවේ දැම්ම බෙහෙත් ගන්න කියලා සිංහල බෙහෙත් වලට නං වැඩි නොවී තියාගන්න පුළුවන් ක් හොඳ වුණ කෙනෙක් නං හම්බෙලා නෑ,Neutral
122,පුදුම වෙන්නෙපා වෙළෙඳාමේ ආපු මුස්ලිම් උන් එක්ක පවුල් කාලා මෙහෙ පදිංචි කර ගත්ත සිංහල කාන්තාවන්ටසමහර  චීන්නු කියන්නෙත් වැඩි වෙනසක් නෑ අපේ ම මිනිස්සුන්ගේ වැරදි 😢 lka ,Racist
