"En,sinhala"
"accept,ඒත්තුගන්නවා "
"acceptability,පිළිගතහැකි බව"
"acceptable,ප්‍රිය "
"acceptance,පොරොන්දු පත්‍රය "
"acceptation,පිළිගැනීම "
"accepted,පිළිගත් "
"acceptor,ප්‍රතිග්‍රාහකය "
"access,කිට්ටුවීම "
"accessibility,සුලබත්වය "
"accessible,කිට්ටුවිය හැකි "
"accession,ප්‍රවේශය "
"accessorial,සහායක "
"accessories,අමතර "
"accessory,අතිරේක "
"accidence,නිපාතනවිධිය "
"accident,අත්වැරැද්ද "
"accidental,අහම්බෙන් සිදු වූ "
"accidentally,අහම්බෙන් "
"acclaim,ගෞරවයෙන් පිළිගන්නවා "
"acclamation,අත්පොළසන් දීම "
"acclimate,දේශගුණයට හෝ පරිසරයට පුරුදු කරනවා"
"acclimatise,දේශගුණයට හෝ නව පරිසරයට හුරු වෙනවා "
"acclimatization,අනුකූලනය "
"acclimatize,පරිසරයට පුරුදු කරනවා"
"acclivity,කඳු බෑවුම "
"accolade,ගෞරවයක් පිරිනැමීම "
"accommodate,ඉඩ සලසනවා "
"accommodating,උවමනා ඉටු කරන "
"accommodation,ඉඩකඩ "
"accompaniment,කැටුව ගෙන යන ලබනු දේ "
"accompany,එක්ව යනවා "
"accomplice,අපරාධ සහායක "
"accomplish,ඉටු කරනවා "
"accomplished,ඉටු කළ "
"accomplishment,ඉටුකිරීම "
"accord,අන්‍යෙන්‍ය ගැළපීම "
"accordant,අනුකූල"
"accordingly,අනුකූල වන ලෙස "
"accost,ආචාර කරනවා "
"account-payee,ආදායකයාගේ ගිණුමට"
"account,අයවැය ලේඛනය "
"accountability,ගිණුම් කටයුතු භාවය "
"accountable,වග කියයුතු "
"accountant,ගණකාධිකාරී "
"accounting,ගණන් තැබීම "
"accoutred,පැළඳි "
"accoutrement,යුද ඇඳුම් කට්ටලය "
"accredit,බලය පවරනවා "
"accreditation,පැවරීම "
"accredited,පැවරුණු "
"accrete,එකතු වෙනවා "
"accretion,එකතුවීම "
"accretive,වර්ධනය වන "
"accrual,උපවතිය "
"accrue,අත් වෙනවා "
"acculturate,වෙනත් සංස්කෘතියකට අනුව හැඩ ගැහෙනවා"
"acculturation,සංස්කෘතික සමායෝගය "
"accumulate,එකතු කරනවා හෝ වෙනවා "
"accumulated,එකතුවූ "
"accumulation,එකතුව "
"accumulative,උපයන "
"accumulator,ඇකියුමිලේටරය "
"accuracy,ඉතා නිවැරදි බව "
"accurate,අඩු වැඩි නැති "
"accurately,නිරවද්‍යව "
"accurse,ශාප කරනවා"
"accursed,නින්දිත "
"accusation,අපවාදය "
"accusative,කර්ම විභක්තිය "
"accusatory,චෝදනා පමුණුවන"
"accuse,චෝදනා කරනවා "
"accused,චූදිතයා "
"accuser,චෝදක "
"accusingly,චෝදනා මුඛයෙන්"
"accustom,ඇබ්බැහි කරනවා "
"accustomed,ඇබ්බැහිවෙලා "
"ace,අති දක්ෂ "
"acerbate,කෝපකරනවා"
"acerbic,කර්කශ "
"acerbity,කෝපය "
"acetaldehyde,ඇසිටැල්ඩිහයිඩ්"
"acetanilide,ඇසිටැනලයිඩ"
"acetate,ඇසිටික් අම්ලයේ ලවණය"
"acetic,ආම්ලික"
"acetifier,ඇසිටි උපකරණය"
"acetone,ද්‍රාවකයක්"
"acetous,විනාකිරි වැනි ඇඹුල් රසැති"
"acetylene,දීප්තිමත් දැල්ලක් සහිතව දැවෙන අවර්ණ හයිඩ්‍රොකාබන් වායුව"
"ache,කකියනවා "
"achene,චර්මලය"
"achieve,ඉෂ්ට කරගන්නවා "
"achievement,ඉටු කර ගැනීම "
"aching,ඇදුම්කන "
"achromatic,අවර්ණ "
"achy,කැක්කුමකින් වේදනා ලබන "
"acicular,පටු දිග උල්"
"acid-neutralizer,අම්ල උදාසීන කාරකය"
"acid,අම්ලය "
"acidic,ආම්ලික"
"acidification,ආම්ලීකරණය"
"acidify,අම්ල බවට හරවනවා "
"acidity,අම්ල "
"acidometer,අම්ලතාමානය"
"acidosis,ආම්ලිකතාව "
"acids,අම්ල"
"acidulate,ආම්ලික බවට පත් කරනවා"
"acidulated,අල්පාම්ලිත"
"acidulation,අල්පාම්ලනය"
"acidulous,ආම්ලික"
"acierate,යකඩ වානේ බවට හරවනවා"
"acknowledge,ලැබුණු බව දන්වා යවනවා "
"acknowledgeable,පිළිගත හැකි"
"acknowledger,පිළිදන්නා"
"acknowledgment,කුවිතාන්සිය "
"acme,අග "
"acne,ඇක්නි "
"acolyte,අතවැස්සා "
"aconite,ඇකනයිට් "
"acorn,ඕක් ගසේ ගෙඩිය "
"acoustic-memory,ධ්වනි මතකය"
"acoustic,ධ්වනි "
"acoustical,ධ්වනි "
"acoustician,ධ්වනි විද්‍යාඥයා"
"acoustics,ධ්වනි විද්‍යාව "
"acquaint,දන්වනවා "
"acquaintance,අඳුනන අය "
"acquaintanceship,ඇඳුනුම්කම"
"acquainted,ඇඳින ගත් "
"acquiesce,අනුමත කරනවා "
"acquiescence,අනුමත කිරීම "
"acquiescent,එකඟ වෙන "
"acquirable,ලබා ගත හැකි"
"acquire,අත්පත්කර ගන්නවා "
"acquired,අත් කර ගත් "
"acquirement,අයිතිකර ගැනීම "
"acquisition,අත්කර ගැනීම "
"acquisitive,ධනය රැස් කිරීමට ලොල් වූ "
"acquisitiveness,කෑදරකම "
"acquit,ණයෙන් නිදහස් කරනවා "
"acquittal,චෝදනාවෙන් නිදහස් වීම "
"acquittance,ණයකින් නිදහස් වීම හෝ කිරීම "
"acquitted,ණයෙන් නිදහස් කළ "
"acre,අක්කරය"
"acreage,අක්කර ගණන "
"acrid,තිත්ත "
"acridity,කටුක බව "
"acrimonious,කටුක "
"acrimony,කටුක බව "
"acrobat,කඹේ නටන්නා "
"acrobatic,කරනම් ගසන "
"acrobatics,කරණම් ගැසීම "
"acrogenous,අග්‍රජන්‍ය "
"acrolith,අග්‍ර ශිලාව"
"acronym,විවිධ අකුරු වල මුල් අකුරු භාවිතා කොට සාදන වචනය"
"acronymic,සංකේතනාමික"
"acrophobia,උච්චභීතිකාව "
"acropolis,පුරාණ ග්‍රිසියේ ප්‍රාසාදය"
"across,එගොඩ "
"acrostic,පදයන්හි මුල මැද හෝ අග අකුරු වලින් වචනයක් හෝ වාක්‍යයක් සෑදෙන කාව්‍ය ප්‍රබන්ධය"
"acryl,ඇක්‍රිල්"
"acrylic,අම්ලයේ ව්‍යත්පන්නයකින් නිපදවන ලද බහුයවීයකයක්"
"act-change,දර්ශන පරිවර්තනය"
"act-character,ක්‍රියා චරිතය"
"act,අංකය "
"actability,ක්‍රියා කළ හැකි බව"
"acting,රඟ දැක්වීම "
"actinic,ඇක්ටිනික්"
"actinium,ඇක්ටිනියම් "
"actinometer,ඇක්ටිනෝමීටරය "
"action,කර්මය "
"actionable,නඩු පැවරිය හැකි"
"actionist,ක්‍රියා කරන්නා "
"activate,උනන්දු කරනවා "
"activated,සක්‍රිය කළ "
"activation,සක්‍රිය කිරීම "
"activator,සක්‍රියකය "
"active,උද්‍යෝගී "
"actively,උනන්දුවෙන් "
"activism,ක්‍රියාවාදය"
"activities,ක්‍රියාකාරකම් "
"activity,උනන්දුව "
"actor,නළුවා"
"actress,නළඟන "
"acts,කිරීම්"
"actual,ඒකාන්ත "
"actuality,ඇතිසැටිය "
"actualize,ඒකාන්තයෙන් ම "
"actually,ඇත්ත වශයෙන් "
"actuarial,ආයු ගණක "
"actuary,ආයුගණක "
"actuate,ක්‍රියාත්මක කරවනවා "
"actuation,මුල පිරීම"
"actuator,ඔදයනය "
"acuity,තියුණු බව "
"aculeate,දළ සහිත "
"acumen,නිපුණතාව "
"acuminate,අති තීව්‍ර "
"acupuncture,කටු චිකිත්සාව"
"acute,උග්‍ර "
"acutely,සියුම් ලෙස"
"acuteness,තියුණු වීම"
"acyclic,අචක්‍රීය "
"ad-infinitum,අනන්තයට"
"ad,ක්‍රිස්තු වර්ෂයෙන් "
"adage,ආප්තෝපදේශය "
"adagio,ස්වර මාන්ද්‍යය "
"adamant,තද "
"adamantine,අතිශයින් දැඩි "
"adapt,අනුවර්තනය කරනවා "
"adaptability,සකස් කළ "
"adaptable,සකස් කළ හැකි "
"adaptation,අනුරූපණය "
"adapted,සකස් කළ "
"adapter,අනුවර්තකය "
"adapting,අනුහුරු කිරීම"
"adaption,අනුවර්තනය "
"adaptive,අනුවර්තක "
"adaptor,ඇඩප්ටරය "
"add,එකතු කරනවා "
"added,එකතු කළ යුත්ත "
"addend,එකතු කළ ප්‍රමාණය "
"addenda,උපග්‍රන්ථ "
"addendum,අතිරේකය "
"adder,ආකලකය "
"addict,ආසක්ත "
"addicted,ආසක්ත "
"addictedness,ඇලුණු බව "
"addiction,ආසක්ත වීම "
"addictive,ඇලෙන ගැලෙන"
"addition,ආකලනය "
"additional,අතිරේක "
"additionally,අතිරේකව "
"additive,ආකලය "
"additivity,ආකල්‍යතාව"
"addle,කිලිටු "
"addled,යල්පැනපු"
"address,අමතනවා "
"addressee,ලිපි හිමියා "
"addressing,ඇමතීම "
"addressograph,ලිපින ලියන යන්ත්‍රය"
"addressor,අමතන්නා "
"adduce,සාක්ෂි හෝ උදාහරණ වශයෙන් ඉදිරිපත් කරනවා "
"adduced,ඉදිරිපත් කළ"
"adducer,ඉදිරිපත් කරන්නා"
"adducible,ඉදිරිපත් කළ හැකි "
"adduct,ආකලිතය"
"adduction,ඉදිරිපත් කිරීම"
"adductive,ඉදිරිපත් කරන"
"adductor,අභිනායක"
"adenine,ඇඩිනීන් "
"adenitis,ගණ්ඨී ප්‍රදාහය"
"adenoid,ඇඩිනොයිඩය "
"adenoids,ග්‍රන්ථ්‍යාභ ප්‍රදාහය"
"adenoma,ඇඩිනෝමාව"
"adept,අති සමර්ථයා "
"adeptness,දක්ෂ බව "
"adequacy,ප්‍රමාණවත් බව"
"adequate,සෑහෙන "
"adequately,ප්‍රමාණවත් ලෙස"
"adequateness,ප්‍රමාණවත් බව"
"adhere,ආසක්ත වෙනවා "
"adherence,ඇල්ම "
"adherent,ඇලී සිටින "
"adherer,පාක්ෂිකයා "
"adhesion,ආසක්තිය "
"adhesive,ආසක්ත "
"adhesiveness,ඇලෙන ගතිය "
"adhesives,ආසක්තක "
"adiabatic,ස්ථීරතාපී"
"adieu,ආයුබෝවන් "
"adipose,තරබාරු "
"adiposity,තරබාරු කම"
"adjacency,අසල පිහිටීම "
"adjacent-channel,යාබද නාලිය"
"adjacent,ආසන්න "
"adjectival,ගුණාත්මක"
"adjective,ගුණපදය "
"adjectively,නාම විශේෂණ වශයෙන්"
"adjoin,යා කරනවා "
"adjoined,ආබද්ධ"
"adjoining,ආසන්න "
"adjoint,සම්බද්ධය"
"adjourn,අත්හිටුවනවා "
"adjournment,අඩාලව කල් තැබීම "
"adjudge,විනිශ්චය කරනවා "
"adjudicate,තීරණය කරනවා "
"adjudication,නියම කිරීම "
"adjudicator,අභිනිර්ණක "
"adjunct,අනුබද්ධ "
"adjunction,අනුබද්ධ කිරීම"
"adjunctive,අනුබද්ධ"
"adjunctively,අනුබද්ධ වශයෙන්"
"adjunctly,අනුබද්ධ වශයෙන්"
"adjuration,උදක්ම ඉල්ලීම "
"adjuratory,දිවුරවන"
"adjure,දිවුරවනවා "
"adjuring,දිවුරවන"
"adjust,ආරවුලක් බේරනවා "
"adjustable-mirror,සීරුමාරු කළ හැකි දර්පණය"
"adjustable-square,රූටවන මට්ටම් ලෑල්ල"
"adjustable,ගැළපිය හැකි "
"adjuster,ගළපන්නා "
"adjusting,සැකසීම "
"adjustment,අනුකූලනය "
"adjutancy,සහායක බව"
"adjutant,අණ දෙන නිලධාරියාගේ සහායක "
"adjuvant,උපකාරක "
"adman,වෙළඳ දැන්වීම්කරු"
"admeasure,කොටස් කරනවා"
"administer,ක්‍රියාවෙහි යොදනවා "
"administrable,පාලනය කළ හැකි"
"administrant,පාලකයා"
"administrate,පාලනය කරනවා"
"administration,ආණ්ඩුව "
"administrative,පාලන "
"administrator,කළමණාකාරයා "
"administratrix,පාලිකාව"
"admirable,ප්‍රශංසනීය "
"admirably,මනෝහර ලෙස "
"admiral,නාවික සේනාපති "
"admiralship,නාවික සේනාපති ධූරය"
"admiralty,නෞකා බලස්ථානය"
"admiration,අගය කිරීම "
"admire,අගය කරනවා "
"admirer,ගෞරවයෙන් සලකන්නා "
"admissibility,ඇතුළත් කර ගත හැකි බව "
"admissible,ඇවිසි "
"admission,ඇතුල් කර ගැනීම "
"admit,ඇතුල් කර ගන්නවා "
"admittance,ඇතුල් වීමේ අවසරය "
"admitted,ඇතුළු කළ "
"admittedly,ඇත්තට ම "
"admix,කලවම් කරනවා "
"admixture,අනුපාතය "
"admonish,අවවාද කරනවා "
"admonishment,අවවාදය"
"admonition,අනුශාසනය "
"admonitory,අවවාදාත්මක "
"ado,කරදරය "
"adobe,ඇඩෝබ් "
"adolescence,ගැටවර විය "
"adolescent,ගැටවරයා "
"adopt,තෝරා ගන්නවා "
"adoptable,තෝරාගත්"
"adopted,හදා ගත්"
"adoptee,තෝරාගත් තැනැත්තා"
"adopter,පිළිගන්නා "
"adoption,තෝරා ගැනීම "
"adoptive,පිළිගත් "
"adorable,උත්කෘෂ්ට "
"adorably,උසස් ලෙස "
"adoration,උසස් භක්තිය "
"adore,අගය කරනවා "
"adored,පූජා කරන ලද "
"adorer,උපස්ථ "
"adorn,අලංකාර කරනවා "
"adorned,අලංකාර කරන ලද "
"adornment,අලංකාර කිරීම "
"adrenal,අධිවෘක්ක "
"adrenalin,ඇඩ්‍රිනලින් "
"adrift,අසරණ "
"adroit,චතුර "
"adroitness,දක්ෂභාවය"
"adsorb,අධිශෝෂණය කරනවා "
"adsorbate,අධිශෝෂිතය"
"adsorbent,අධිශෝෂක"
"adsorption,අධිශෝෂණය"
"adsorptive,අධිශෝෂක"
"adularia,ඇඩියුලේරියා"
"adulate,ඉච්චා කියනවා "
"adulation,අධික ප්‍රශංසාව "
"adulator,ඉච්චාකාරයා "
"adulatory,ප්‍රශංසාත්මක "
"adult,දැනුම් තේරුම් ඇති "
"adulterant,බාල කිරීමට යොදන දෙය "
"adulterate,අපමිශ්‍ර කරනවා "
"adulterated,අපමිශ්‍රිත "
"adulteration,අපමිශ්‍රණය "
"adulterator,යමක් බාල කරන්නා"
"adulterer,අනාචාරයේ හැසිරෙන්නා "
"adulteress,පරපුරුෂ සේවනය කරන්නී"
"adulterine,දූෂිත "
"adulterous,අනාචාරයේ හැසිරුණු "
"adultery,අනාචාරය "
"adulthood,වැඩිහිටි බව "
"adumbrate,ඉඟියෙන් පෙන්නුම් කරනවා "
"adumbration,ඇඟවීම "
"advance,අත්තිකාරම "
"advanced,ඉදිරියට පැමිණි "
"advancement,අත්තිකාරම "
"advantage,ජය "
"advantageous,වාසිදායක "
"advantageously,වාසිදායකව"
"advection,වාතය හෝ ජලය තිරස්ව ගමන් කිරීම"
"advent,පැමිණීම "
"adventist,ජේසු ධර්මය අදහන්නා"
"adventitious,අනියම් "
"adventive,එකඟ වෙනවා හෝ එක් වෙනවා"
"adventure,අනතුරකට මූණ පානවා "
"adventurer,අවදානම් කටයුතු කරන පුද්ගලයා "
"adventuresome,අවදානම් සහිත"
"adventuress,කපටි ස්ත්‍රිය"
"adventurist,අවදානම් ප්‍රයත්න දරන්නා"
"adventurous,අනතුරු සහිත "
"adverb,ක්‍රියා විශේෂණය"
"adverbial,ක්‍රියා විශේෂණ"
"adversary,එදිරිකාරයා "
"adverse,අහිතකර "
"adversely,විරුද්ධව"
"adversity,අහේතුව "
"advert,මතක් කරනවා "
"advertence,අප්‍රමාදය "
"advertency,අවධානය "
"advertent,අවදානය "
"advertise,දන්වනවා "
"advertisement,දැන්වීම "
"advertisements,වෙළඳ දැන්වීම් "
"advertiser,දැන්වීම් පළ කරන්නා "
"advertising,දැන්වීම් ප්‍රචාරය "
"advice,අනුශාසනාව "
"advisability,ඥානාන්විතභාවය "
"advisable,අනුශාසනීය "
"advisably,කල්පනා කොට බලා "
"advise,අනුශාසනය කරනවා "
"adviser,අනුශාසක "
"advisor,අනුශාසක "
"advisory,උපදෙස් දෙන "
"advocacy,අධි නීතීඥ කාර්යය "
"advocate,අද්වකාත් "
"adytum,ඇතුල්ගැබ"
"adz,වෑය"
"adze,අහිනවා "
"aegis,අනුග්‍රහය "
"aegrotat,අසනීප වී විභාගයට පෙනී නොසිටි සිසුවකුට දෙන සහතිකය"
"aeon,කල්පය "
"aerate,වායුවක් සමඟ මිශ්‍රකරවනවා "
"aeration,වාතනය "
"aerial,ඇහැසිය "
"aerie,මාංශභක්ෂක කුරුල්ලන්ගේ කූඩුව "
"aero,ගගන "
"aerobatics,ගුවන් කරණම්"
"aerobe,ජීවත්වීම සඳහා වාතය අවශ්‍ය ජීවියා"
"aerobic,සවායු"
"aerobiology,වායව ක්‍ෂුද්‍ර ජීවීන් පළිබඳ විද්‍යාව"
"aerodrome,අහස් යාත්‍රාංගනය "
"aerodynamics,වායු ගතිකය "
"aerofoil,ගුවන්යානා තටු "
"aerofoil,වාපත"
"aerogram,ගුවන්විදුලි තරංග මගින් යවනු ලබන පණිවුඩය"
"aerogramme,ගුවන් ලියමන"
"aerograph,අහස්යානාවල තිබෙන වායුගෝල මැනීම් කළ හැකි ඕනෑම ස්වයංක්‍රීය පටිගත කරන උපකරණයක්"
"aerometer,වායුඝනත්වමානය"
"aeronaut,ගගනගාමියා "
"aeronautical,ගගනගාමී"
"aeronautics,අහස්නැව් පැදවීමේ ශාස්ත්‍රය "
"aerophobia,ගගනභීතිකාව"
"aeroplane,අහස් යානය "
"aerosol,ඉතා කුඩා අංශු වායුවක විසිර තිබීමේ ක්‍රමය "
"aerospace,ආකාශතලය "
"aerosphere,වායුගෝලය"
"aerostatics,වායුස්ථීති විද්‍යාව"
"aerotherapeutics,වායුචිකිත්සාව"
"aesthesia,සංජානන හා සංවේදන ශක්තිය "
"aesthete,කලාකාමියා "
"aesthetic,රසික "
"aesthetician,සෞන්දර්යවාදියා"
"aesthetics,රසඥානය "
"aestival,ග්‍රීෂ්ම "
"aestivation,ගිම්හානතරණය"
"aether,ඊතර"
"aetiology,කාරණ විමර්ශනය "
"afar,ඈත "
"affability,ප්‍රියවාදී බව "
"affable,කාරුණික "
"affably,ප්‍රියශීලිව"
"affair,කටයුත්ත "
"affair,ප්‍රේම බැඳුම"
"affairs,කටයුතු "
"affect,බලපානවා "
"affectation,අහංකාරකම "
"affected,උජාරු "
"affecting,අනුකම්පා උපදවන"
"affection,ආවේදනාව "
"affectionate,ආදරණීය "
"affective,ආවේදනාත්මක "
"affectivity,ආවේදනාත්මකතාව"
"afferent,ඉන්ද්‍රිය තුලට හා ඉන් ඉවතට "
"affiance,ප්‍රතිඥාව "
"affidavit,දිවුරුම් පත්‍රය "
"affiliate,අනුබද්ධ කරනවා "
"affiliated,අනුබද්ධ "
"affiliation,අනුබද්ධ කිරීම "
"affine,විවාහ ඥාතියා"
"affined,සමානවූ"
"affinity,නෑකම "
"affirm,තරයේ කියනවා "
"affirmation,තහවුරු කිරීම "
"affirmative,තරයේ කියන "
"affirmed,සහතික කරන ලදී "
"affix,අලවනවා "
"affixed,සම්බන්ධ "
"affixture,එකතු කිරීම "
"afflatus,දේව වරප්‍රසාදය "
"afflatus,ප්‍රබෝධමත් වීම"
"afflict,පීඩා කරනවා "
"affliction,ලෙඩ දුක් "
"afflictive,වේදනාදායී"
"affluence,සම්පත "
"affluent,ධනවත් "
"afflux,ගැලීම "
"afford,දරා ගන්නවා "
"afforest,කැලෑ වවනවා "
"afforestation,කැලෑ වැවීම "
"affray,දබරය "
"affright,බියට පත් කරනවා "
"affront,ප්‍රසිද්ධියේ කරන නින්දාව "
"afghan,ඇෆ්ගන්කාරයා "
"aficionado,ආධුනිකයා "
"afield,එලිමහනෙහි "
