,Id,Text,Post_category,Text_cleaned
18,18.0,"""මෙම ජයග්‍රහණයේ විශේෂත්වය වන්නේ බංලාදේශ කණ්ඩායමේ පුහුනුකරුවන් තිදෙනාම ශ්‍රී ලාංකිකයින් විමයි.චන්දික හතුරුසිංහ, ප්‍රධාන පුහුනුකරු වන අතර  පිතිකරුවන්ගේ පුහුනුකරු  වන්නේ තිලාන් සමරවිරයි.පන්දු  රකින්නන්ගේ පුහුණුකරු ලෙස රුවන් කල්පගේ කටයුතු කරයි. """,News,මෙම ජයග්‍රහනයේ විෂේෂත්වය වන්නේ බංලාදේෂ කන්ඩායමේ පුහුනුකරුවන් තිදෙනාම ෂ්‍රී ලාංකිකයින් විමයිචන්දික හතුරුසිංහ ප්‍රධාන පුහුනුකරු වන අතර  පිතිකරුවන්ගේ පුහුනුකරු  වන්නේ තිලාන් සමරවිරයිපන්දු  රකින්නන්ගේ පුහුනුකරු ලෙස රුවන් කල්පගේ කටයුතු කරයි 
19,19.0,"""ශ්‍රී ලංකා කණ්ඩායමට ලෝක කුසලාන ක්‍රිකට් තරගාවලියට ඍජුව සුදුසුකම් ලැබීමේ අවස්ථාව අහිමි විය.ඒ, ඉන්දීය කණ්ඩායමට එරෙහි එක්දින තරගාවලියේ ඊයේ පැවති සිව්වැනි තරගය ද පරාජය වීමත් සමගිනි.""",News,ෂ්‍රී ලංකා කන්ඩායමට ලෝක කුසලාන ක්‍රිකට් තරගාවලියට ඍජුව සුදුසුකම් ලැබීමේ අවස්ථාව අහිමි වියඑ ඉන්දීය කන්ඩායමට එරෙහි එක්දින තරගාවලියේ ඉයේ පැවති සිව්වැනි තරගය ද පරාජය වීමත් සමගිනි
20,20.0,"""අන්තර් ජාතික ක්‍රිකට් කවුන්සිල නිල වෙබ් අඩවියේ දැක්වෙන්නේ තරගාවලියේ සිව්වැනි තරගය ශ්‍රී ලංකාව පරාජය වීමත් සමග එම අවස්ථාව අහිමි වූ බව ය.""",News,අන්තර් ජාතික ක්‍රිකට් කවුන්සිල නිල වෙබ් අඩවියේ දැක්වෙන්නේ තරගාවලියේ සිව්වැනි තරගය ෂ්‍රී ලංකාව පරාජය වීමත් සමග එම අවස්ථාව අහිමි වූ බව ය
21,21.0,"""ඒ, අනුව  ක්‍රිකට් ලෝක කුසලානයට එක්වීමටනම් ශ්‍රී ලංකා කණ්ඩායම සුදුසුකම් ලැබීමේ තරග වටයට එක්විය යුතු වේ.""",News,එ අනුව  ක්‍රිකට් ලෝක කුසලානයට එක්වීමටනම් ෂ්‍රී ලංකා කන්ඩායම සුදුසුකම් ලැබීමේ තරග වටයට එක්විය යුතු වේ
22,22.0,"""කොළඹ, ආර්.ප්‍රේමදාස ක්‍රීඩාංගණයේ ඊයේ පැවැති තරගයේ පළමුවෙන් පන්දුවට පහර දුන් ඉන්දීය කණ්ඩායම රැස් කළ ලකුනු ට පිළිතුරු ලෙස ශ්‍රී ලංකාවට සියලු දෙනා දැවී රැස් කිරීමට හැකි වූයේ ලකුණු පමණි.""",News,කොලබ අර්ප්‍රේමදාස ක්‍රීඩාංගනයේ ඉයේ පැවැති තරගයේ පලමුවෙන් පන්දුවට පහර දුන් ඉන්දීය කන්ඩායම රැස් කල ලකුනු ට පිලිතුරු ලෙස ෂ්‍රී ලංකාවට සියලු දෙනා දැවී රැස් කිරීමට හැකි වූයේ ලකුනු පමනි
23,23.0,"""ශ්‍රී ලංකාව සමඟ පැවැති පළමු එක්දින ක්‍රිකට් තරගය ඉන්දියාව අද කඩුලු  කින් ජය ගත්තේ ය.තරගය පැවැත් වුණේ රංගිරි දඹුලු ජාත්‍යන්තර ක්‍රිකට් ක්‍රීඩාංගණයේදී ය.තරගයේ කාසියේ වාසිය දිනු ඉන්දිය ක්‍රිකට් නායක විරාත් කෝලි පළමුවෙන් පන්දු රැකීමට තීරණය කළේ ය.""",News,ෂ්‍රී ලංකාව සමග පැවැති පලමු එක්දින ක්‍රිකට් තරගය ඉන්දියාව අද කඩුලු  කින් ජය ගත්තේ යතරගය පැවැත් වුනේ රංගිරි දබුලු ජාත්‍යන්තර ක්‍රිකට් ක්‍රීඩාංගනයේදී යතරගයේ කාසියේ වාසිය දිනු ඉන්දිය ක්‍රිකට් නායක විරාත් කෝලි පලමුවෙන් පන්දු රැකීමට තීරනය කලේ ය
24,24.0,"""මීටර් සවි කිරිම අනිවාර්ය කෙරුණ ද ගාස්තුවේ වෙනසක් කිරිමට සැලසුම් කර නැතැයි ජාතික ඒකාබද්ධ ත්‍රිරෝද රථ රියැදුරන්ගේ හා කර්මාන්තකරුවන්ගේ සංගමය පවසයි.""",News,මීටර් සවි කිරිම අනිවාර්ය කෙරුන ද ගාස්තුවේ වෙනසක් කිරිමට සැලසුම් කර නැතැයි ජාතික එකාබද්ධ ත්‍රිරෝද රථ රියැදුරන්ගේ හා කර්මාන්තකරුවන්ගේ සංගමය පවසයි
25,25.0,"""එහි සභාපති කේ.ජී. අල්විස් මහතා සඳහන් කළේ, ඒ අනුව උදෑසන  සිට රාත්‍රී  දක්වා පළමු කිලෝමීටරය සඳහා රුපියල්  ක මුදලක් අය කෙරෙන බව ය.""මීටර් සවි කිරිම අනිවාර්ය කෙරුණ ද ගාස්තුවේ වෙනසක් කිරිමට සැලසුම් කර නැතැයි ජාතික ඒකාබද්ධ ත්‍රිරෝද රථ රියැදුරන්ගේ හා කර්මාන්තකරුවන්ගේ සංගමය පවසයි.""",News,එහි සබාපති කේජී අල්විස් මහතා සදහන් කලේ එ අනුව උදෑසන  සිට රාත්‍රී  දක්වා පලමු කිලෝමීටරය සදහා රුපියල්  ක මුදලක් අය කෙරෙන බව යමීටර් සවි කිරිම අනිවාර්ය කෙරුන ද ගාස්තුවේ වෙනසක් කිරිමට සැලසුම් කර නැතැයි ජාතික එකාබද්ධ ත්‍රිරෝද රථ රියැදුරන්ගේ හා කර්මාන්තකරුවන්ගේ සංගමය පවසයි
26,26.0,"""නව නීතිය ක්‍රියාත්මක කිරීම සම්බන්ධයෙන් අප මාර්ග ආරක්ෂාව පිළිබද ජාතික සභාවෙන් විමසීමක් කළේය.එහි සභාපති වෛද්‍ය සිසිර කෝදාගොඩ මහතා ප්‍රකාශ කළේ, ඊට අදාළ කටයුතු ලබන සතියේ සිට ආරම්භ කරන බව ය.""",News,නව නීතිය ක්‍රියාත්මක කිරීම සම්බන්ධයෙන් අප මාර්ග අරක්ෂාව පිලිබද ජාතික සබාවෙන් විමසීමක් කලේයඑහි සබාපති වෛද්‍ය සිසිර කෝදාගොඩ මහතා ප්‍රකාෂ කලේ ඉට අදාල කටයුතු ලබන සතියේ සිට අරම්බ කරන බව ය
27,27.0,"""ගාස්තු මත පුද්ගලයින් හා භාණ්ඩ ප්‍රවාහනයේදී මගීන්ට පැහැදිලිව පෙනෙන ලෙස රියැදුරු අසුන පිටුපස, වාහනය ලියාපදිංචි අංකය, රියැදුරුගේ නම සහිත ලියාපදිංචි අංකය සහ රියැදුරුගේ ඡායාරූපයක් ප්‍රදර්ශනය කළ යුතු බව ද අදාළ ගැසට් නිවේදනයේ සඳහන් ය. """,News,ගාස්තු මත පුද්ගලයින් හා බාන්ඩ ප්‍රවාහනයේදී මගීන්ට පැහැදිලිව පෙනෙන ලෙස රියැදුරු අසුන පිටුපස වාහනය ලියාපදිංචි අංකය රියැදුරුගේ නම සහිත ලියාපදිංචි අංකය සහ රියැදුරුගේ චායාරූපයක් ප්‍රදර්ෂනය කල යුතු බව ද අදාල ගැසට් නිවේදනයේ සදහන් ය 
28,28.0,"""නිව්ස්ෆස්ට් කළ විමසීමකදී මහ බැංකු අධිපතිවරයා සඳහන් කළේ, එවැනි කිසිඳු තීරණයක් ගෙන නොමැති බව ය.""",News,නිව්ස්ෆස්ට් කල විමසීමකදී මහ බැංකු අධිපතිවරයා සදහන් කලේ එවැනි කිසිදු තීරනයක් ගෙන නොමැති බව ය
29,29.0,"""රුපියල් පන්දහසේ ව්‍යාජ නෝට්ටු මුද්‍රණය සම්බන්ධයෙන් පසුගිය කාලයේ පොලීසියට පැමිණිලි රැසක් ලැබී තිබුණි.""",News,රුපියල් පන්දහසේ ව්‍යාජ නෝට්ටු මුද්‍රනය සම්බන්ධයෙන් පසුගිය කාලයේ පොලීසියට පැමිනිලි රැසක් ලැබී තිබුනි
30,30.0,"""මේ අනුව මුදල් නෝට්ටු මුද්‍රණයේදී නව ආරක්ෂිත ක්‍රමවේද අනුගමනය කිරිමට සැලසුම් කර ඇතැයි ශ්‍රී ලංකා මහ බැංකුවේ සහකාර අධිපති ජේ.පී.ආර්. කරුණාරත්න මහතා ප්‍රකාශ කළේය.ඔහු සඳහන් කළේ, ව්‍යාජ මුදල් නෝට්ටු සංසරණය වැළැක්වීම මෙහි අරමුණ බව ය. """,News,මේ අනුව මුදල් නෝට්ටු මුද්‍රනයේදී නව අරක්ෂිත ක්‍රමවේද අනුගමනය කිරිමට සැලසුම් කර ඇතැයි ෂ්‍රී ලංකා මහ බැංකුවේ සහකාර අධිපති ජේපීඅර් කරුනාරත්න මහතා ප්‍රකාෂ කලේයඔහු සදහන් කලේ ව්‍යාජ මුදල් නෝට්ටු සංසරනය වැලැක්වීම මෙහි අරමුන බව ය 
31,31.0,"""දිස්ත්‍රික්ක කට නිකුත් කළ නායයාමේ අනතුරු ඇඟවීම තව දුරට ත්: අදත් වැසි ඇතිවිය හැකියි""",News,දිස්ත්‍රික්ක කට නිකුත් කල නායයාමේ අනතුරු ඇගවීම තව දුරට ත් අදත් වැසි ඇතිවිය හැකියි
32,32.0,"""දිවයිනේ ප්‍රදේශ කිහිපයකට අදත් වැසි ඇති විය හැකි බව කාලගුණ විද්‍යා දෙපාර්තමේන්තුව පවසයි.මේ අතර කෑගල්ල, රත්නපුර, කළුතර, ගාල්ල සහ නුවරඑළිය දිස්ත්‍රික්ක සඳහා නිකුත් කළ නායයාමේ අනතුරු ඇඟවීම, අද පස්වරුව දක්වා ක්‍රියාත්මක බව ආපදා කළමනාකරණ මධ්‍යස්ථානය පවසයි.""",News,දිවයිනේ ප්‍රදේෂ කිහිපයකට අදත් වැසි ඇති විය හැකි බව කාලගුන විද්‍යා දෙපාර්තමේන්තුව පවසයිමේ අතර කෑගල්ල රත්නපුර කලුතර ගාල්ල සහ නුවරඑලිය දිස්ත්‍රික්ක සදහා නිකුත් කල නායයාමේ අනතුරු ඇගවීම අද පස්වරුව දක්වා ක්‍රියාත්මක බව අපදා කලමනාකරන මධ්‍යස්ථානය පවසයි
33,33.0,"""එහි සහකාර අධ්‍යක්ෂ ප්‍රදීප් කොඩිප්පිලි මහතා සඳහන් කළේ, පවුල්  ක් තව දුරට ත් ආරක්ෂිත ස්ථාන  ක රඳවා ඇති බව ය. """,News,එහි සහකාර අධ්‍යක්ෂ ප්‍රදීප් කොඩිප්පිලි මහතා සදහන් කලේ පවුල්  ක් තව දුරට ත් අරක්ෂිත ස්ථාන  ක රදවා ඇති බව ය 
34,34.0,"""සාජාහී මහල් ගොඩනැගිල්ලකින් පැන ශ්‍රී ලාංකිකයින් තුන් දෙනෙකු සියදිවි නසා ගනී""",News,සාජාහී මහල් ගොඩනැගිල්ලකින් පැන ෂ්‍රී ලාංකිකයින් තුන් දෙනෙකු සියදිවි නසා ගනී
35,35.0,"""සාජාහී මහල් ගොඩනැගිල්ලකින් පැන ශ්‍රී ලාංකිකයින් තුන් දෙනෙකු මියයාම සහ දෙදෙනෙකු තුවාල ලැබීම සම්බන්ධයෙන් විදේශ අමාත්‍යාංශය පරීක්ෂණයක් ආරම්භ කර තිබේ.""",News,සාජාහී මහල් ගොඩනැගිල්ලකින් පැන ෂ්‍රී ලාංකිකයින් තුන් දෙනෙකු මියයාම සහ දෙදෙනෙකු තුවාල ලැබීම සම්බන්ධයෙන් විදේෂ අමාත්‍යාංෂය පරීක්ෂනයක් අරම්බ කර තිබේ
36,36.0,"""ඩුබායි, ශ්‍රී ලංකා කොන්සල් චරිත යත්තෝගොඩ මහතා පැවසුවේ එකම පවුලේ පස් දෙනෙකු එලෙස මහල් ගොඩනැගිල්ලක  වැනි මහලින් පැන ඇති බව ය.පියා මව සහ පුතා මියගොස් ඇති බවත් දියණියයන් දෙදෙනා තුවාල ලබා රෝහල් ගතකර ඇති බව ත් ඔහු සඳහන් කළේය.""",News,ඩුබායි ෂ්‍රී ලංකා කොන්සල් චරිත යත්තෝගොඩ මහතා පැවසුවේ එකම පවුලේ පස් දෙනෙකු එලෙස මහල් ගොඩනැගිල්ලක  වැනි මහලින් පැන ඇති බව යපියා මව සහ පුතා මියගොස් ඇති බවත් දියනියයන් දෙදෙනා තුවාල ලබා රෝහල් ගතකර ඇති බව ත් ඔහු සදහන් කලේය
37,37.0,"""ඔවුන් ශ්‍රී ලාංකිකයින් වුවද දීර්ඝ කාලයක සිට ඔවුන් මෙරට සමග සබඳතා පවත්වා නොමැති බව ද ඔහු සඳහන් කළේය. """,News,ඔවුන් ෂ්‍රී ලාංකිකයින් වුවද දීර්ග කාලයක සිට ඔවුන් මෙරට සමග සබදතා පවත්වා නොමැති බව ද ඔහු සදහන් කලේය 
38,38.0,"""පොලිස් නිලධාරීන්  දෙනෙකුට පොලිස්පතිවරයාගේ නියමයෙන් උසස්විම් ලබා දී තිබේ.""",News,පොලිස් නිලධාරීන්  දෙනෙකුට පොලිස්පතිවරයාගේ නියමයෙන් උසස්විම් ලබා දී තිබේ
39,39.0,"""පොලිස් කොස්තාපල්වරුන්  ක් පොලිස් සැරයන් නිලයට උස්ස කර ඇති බව පොලිස් මාධ්‍ය ප්‍රකාශක පොලිස් අධිකාරි රුවන් ගුණසේකර මහතා සඳහන් කළේය .""",News,පොලිස් කොස්තාපල්වරුන්  ක් පොලිස් සැරයන් නිලයට උස්ස කර ඇති බව පොලිස් මාධ්‍ය ප්‍රකාෂක පොලිස් අධිකාරි රුවන් ගුනසේකර මහතා සදහන් කලේය 
40,40.0,"""සැරයන්වරු  ක් උප පොලිස් පරික්ෂක නිලයට උසස් කර තිබේ .කාන්තා සැරයන්වරියන්  ක් කාන්තා උප පොලිස් නිලයට උසස් කර ඇති බව පොලිස් මාධ්‍ය ප්‍රකාශකවරයා සඳහන් කළේය """,News,සැරයන්වරු  ක් උප පොලිස් පරික්ෂක නිලයට උසස් කර තිබේ කාන්තා සැරයන්වරියන්  ක් කාන්තා උප පොලිස් නිලයට උසස් කර ඇති බව පොලිස් මාධ්‍ය ප්‍රකාෂකවරයා සදහන් කලේය 
41,41.0,"""පොලිස් කොස්තාපල් රියැදුරුවරුන්  දෙදෙනෙකු පොලිස් සැරයන් රියැදුරු නිලය සඳහා උසස් කර තිබේ.පොලිස් මාධ්‍ය ප්‍රකාශකවරයා සඳහන් කළේ, පොලිස් සැරයන් රියැදුරුවරුන්  දෙනෙකු ප්‍රවාහන උප පොලිස් පරීක්ෂක නිලයට උසස් කළ බව ය.""",News,පොලිස් කොස්තාපල් රියැදුරුවරුන්  දෙදෙනෙකු පොලිස් සැරයන් රියැදුරු නිලය සදහා උසස් කර තිබේපොලිස් මාධ්‍ය ප්‍රකාෂකවරයා සදහන් කලේ පොලිස් සැරයන් රියැදුරුවරුන්  දෙනෙකු ප්‍රවාහන උප පොලිස් පරීක්ෂක නිලයට උසස් කල බව ය
42,42.0,"""සිට බලපැවැත්වෙන පරිදි මෙම උසස්විම් ලබාදී තිබේ.පොලිස් මාධ්‍ය ප්‍රකාශකවරයා සඳහන් කළේ, මෑත කාල සිමාව තුළ මෙතරම් නිලධාරින් සංඛ්‍යාවකට එකවර උසස් වීම් ලබා දුන් අවස්ථාව මෙය බව ය. """,News,සිට බලපැවැත්වෙන පරිදි මෙම උසස්විම් ලබාදී තිබේපොලිස් මාධ්‍ය ප්‍රකාෂකවරයා සදහන් කලේ මෑත කාල සිමාව තුල මෙතරම් නිලධාරින් සංක්‍යාවකට එකවර උසස් වීම් ලබා දුන් අවස්ථාව මෙය බව ය 
43,43.0,"""ශිරන්ති රාජපක්ෂගෙන් අල්ලස් කොමිසම ප්‍රකාශයක් ලබා ගනී""",News,ෂිරන්ති රාජපක්ෂගෙන් අල්ලස් කොමිසම ප්‍රකාෂයක් ලබා ගනී
44,44.0,"""හිටපු ජනාධිපති මහින්ද රාජපක්ෂ මහතාගේ බිරිඳ ශිරන්ති රාජපක්ෂ මහත්මිය අද පෙරවරුවේ අල්ලස් හෝ දූෂණ චෝදනා විමර්ශන කොමිෂන් සභාවට පැමිණියා ය.""",News,හිටපු ජනාධිපති මහින්ද රාජපක්ෂ මහතාගේ බිරිද ෂිරන්ති රාජපක්ෂ මහත්මිය අද පෙරවරුවේ අල්ලස් හෝ දූෂන චෝදනා විමර්ෂන කොමිෂන් සබාවට පැමිනියා ය
45,45.0,"""පැයක පමණ කාලයක් ඇය අල්ලස් කොමිසමේ රැඳී සිට පිටත්ව ගිය බව අප වාර්තාකරු සඳහන් කළේය. """,News,පැයක පමන කාලයක් ඇය අල්ලස් කොමිසමේ රැදී සිට පිටත්ව ගිය බව අප වාර්තාකරු සදහන් කලේය 
46,46.0,"""ඔක්තෝබර්  වැනිදා සිට ත්‍රිරෝද රථවල ටැක්සි මීටරය අනිවාර්ය කෙරේ""",News,ඔක්තෝබර්  වැනිදා සිට ත්‍රිරෝද රථවල ටැක්සි මීටරය අනිවාර්ය කෙරේ
47,47.0,"""ලබන ඔක්තෝබර් මස  වැනිදා සිට ක්‍රියාත්මක වන පරිදි මගීන් හා භාණ්ඩ ප්‍රවාහනය කරන ත්‍රිරෝද රථ සඳහා ටැක්සි මීටරයක් තිබිය යුතු බවට ගැසට් මගින් ප්‍රකාශයට පත් කර තිබේ.""",News,ලබන ඔක්තෝබර් මස  වැනිදා සිට ක්‍රියාත්මක වන පරිදි මගීන් හා බාන්ඩ ප්‍රවාහනය කරන ත්‍රිරෝද රථ සදහා ටැක්සි මීටරයක් තිබිය යුතු බවට ගැසට් මගින් ප්‍රකාෂයට පත් කර තිබේ
48,48.0,"""ඒ, අනුව ගාස්තු ගෙවීමෙන් පසු මගියාගේ ඉල්ලීම පරිදි රිසිට් පතක් නිකුත් කිරීමට කටයුතු කළ යුතුයි.""",News,එ අනුව ගාස්තු ගෙවීමෙන් පසු මගියාගේ ඉල්ලීම පරිදි රිසිට් පතක් නිකුත් කිරීමට කටයුතු කල යුතුයි
49,49.0,"""රිසිට් පතෙහි ගමන් කළ දුර, වාහන ලියාපදිංචි අංකය, අය කළ ගාස්තුව සහ ලබාගත් දිනය ඇතුළත් විය යුතු වේ.""",News,රිසිට් පතෙහි ගමන් කල දුර වාහන ලියාපදිංචි අංකය අය කල ගාස්තුව සහ ලබාගත් දිනය ඇතුලත් විය යුතු වේ
